frameTime,leftGaze origin x,leftGaze origin y,leftGaze origin z,leftGaze direction x,leftGaze direction y,leftGaze direction z,rightGaze origin x,rightGaze origin y,rightGaze origin z,rightGaze direction x,rightGaze direction y,rightGaze direction z
"44.91054","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.92284","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.92924","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.93325","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.9372","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.94123","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.94559","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.9492","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.95327","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.95717","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.96127","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.96533","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.96913","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.97327","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.97721","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.98124","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.98532","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.98909","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.99322","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"44.9972","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.00126","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.00514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.01124","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.01757","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.02121","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.03048","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.03764","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.04123","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.04548","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.04926","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.05353","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.05717","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.06115","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.06528","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.06933","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.07322","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.07735","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.08114","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.08519","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.08913","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.09319","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.09731","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.10741","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.11322","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.11727","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.12123","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.12569","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.12919","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.1333","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.13703","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.14124","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.14517","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.14949","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.15322","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.1573","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.16121","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.16515","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.16914","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.17333","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.1771","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.18115","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.1852","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.19351","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.19742","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.20123","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.20524","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.20926","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.2132","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.21837","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.22523","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.22914","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.23317","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.23778","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.24532","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.25385","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.25721","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.26564","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.27341","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.27729","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.28123","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.28531","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.28997","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.29319","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.29712","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.30134","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.30516","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.30924","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.31456","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.32145","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
"45.32514","230.037","-183.526","274.054","-0.918","0.051","-0.393","230.037","-183.526","274.054","-0.918","0.051","-0.393"
